id_order,brand_cat
363926,Apple - laptop
363635,Apple - pc
364005,Apple - laptop
364338,BenQ - display
364488,Apple - smartphone
363646,Apple - laptop
364699,Apple - laptop
364746,Apple - smartphone
364870,Pack - pc
364871,Apple - smartwhatch
364872,Service - service
364878,Apple - pc
364931,Apple - tablet
365042,Apple - smartphone
364502,Pack - pc
364502,Unknown - Unknown
365157,Apple - smartphone
365165,Pack - pc
365182,Apple - smartphone
317102,Apple - tablet
365244,LG - display
365393,Apple - tablet
365498,Apple - laptop
365562,Apple - laptop
365562,Apple - smartphone
365562,Apple - extended warranty
357891,Apple - laptop
365905,Dell - display
365919,Apple - smartphone
366375,Apple - laptop
366757,Pack - pc
366865,Pack - pc
366865,Apple - extended warranty
367037,Pack - pc
367188,Apple - laptop
367188,Apple - extended warranty
367195,Apple - pc
367245,Pack - pc
367249,Apple - smartphone
367263,LG - display
367263,Dell - display
367494,Pack - pc
367494,Apple - extended warranty
367640,Apple - laptop
367768,Apple - pc
287733,Apple - laptop
359647,Apple - tablet
368021,Unknown - Unknown
366732,Apple - pc
368292,Apple - smartphone
368422,Apple - laptop
368474,Apple - tablet
368661,Apple - laptop
368661,Apple - extended warranty
368944,Apple - smartphone
369072,Apple - tablet
369079,Apple - laptop
368329,Wacom - tablet
369217,Wacom - tablet
369523,Apple - smartphone
369557,Apple - laptop
369563,Apple - laptop
369563,Unknown - Unknown
369677,Apple - laptop
369677,Apple - smartwhatch
369683,Apple - tablet
369705,LG - display
369910,Apple - smartphone
369971,Apple - smartphone
370102,D-Link - camera
370044,Pack - pc
353744,Apple - laptop
369851,Apple - laptop
370275,Apple - smartphone
370275,Apple - laptop
370305,Pack - pc
370353,Apple - tablet
369834,Apple - smartphone
370377,Apple - pc
370351,Unknown - Unknown
370823,Apple - laptop
371052,Apple - smartphone
371052,Apple - tablet
371064,Apple - laptop
371232,Apple - smartphone
371232,Apple - extended warranty
371378,Apple - tablet
371532,Apple - smartphone
370783,Apple - smartwhatch
371714,Pack - pc
371773,Pack - pc
371829,Pack - pc
371881,Dell - display
370697,Apple - tablet
371990,Apple - smartwhatch
371881,Apple - pc
372151,Wacom - tablet
372161,Apple - smartphone
372181,Apple - tablet
372311,Apple - smartphone
372333,Microsoft - software
372333,Apple - pc
372364,Apple - smartphone
372583,Apple - laptop
372649,Apple - smartphone
372655,Apple - smartphone
372782,Wacom - tablet
372782,Eizo - display
371315,Philips - other
368935,Apple - tablet
373232,Apple - laptop
373516,Apple - pc
373516,Apple - extended warranty
373570,Service - service
373709,Apple - smartphone
372008,Apple - laptop
372008,Apple - extended warranty
373822,Apple - smartphone
373952,Apple - smartphone
374008,Apple - smartphone
374118,Apple - tablet
374187,Apple - tablet
374203,Apple - smartphone
374203,Apple - tablet
374404,Apple - smartphone
374434,Apple - smartphone
374504,Apple - smartphone
374507,Apple - tablet
374669,Apple - laptop
374706,Apple - tablet
374736,Apple - tablet
374770,Apple - smartphone
371967,Apple - laptop
374809,D-Link - camera
374922,Apple - extended warranty
374979,Philips - other
369705,Apple - other
375095,Unknown - Unknown
375123,Apple - smartphone
375123,Apple - extended warranty
375283,Apple - tablet
375309,Apple - tablet
375344,LG - display
375367,Pack - pc
375394,Apple - smartphone
375411,Apple - pc
375411,Apple - extended warranty
375411,Apple - laptop
375459,Pack - pc
375459,Apple - extended warranty
375632,Apple - tablet
375732,Apple - smartphone
375741,Apple - smartphone
375750,Dell - display
375803,Apple - laptop
375803,Apple - pc
359168,Apple - pc
375926,Apple - smartphone
375967,Apple - laptop
376008,Apple - smartphone
376042,Apple - smartphone
376042,Apple - extended warranty
376049,Apple - smartphone
376057,Wacom - tablet
376062,Apple - laptop
376072,LG - display
376241,Service - service
376325,Apple - pc
376325,BenQ - display
376352,Apple - pc
376352,Apple - laptop
376376,Apple - pc
376157,Apple - smartphone
376477,Apple - smartphone
376487,LG - display
376650,Apple - smartwhatch
376855,Apple - tablet
376870,LG - display
376986,Apple - smartphone
377106,Apple - smartphone
377131,Apple - smartphone
377156,Apple - tablet
377181,Apple - smartphone
377182,Apple - smartphone
377228,Apple - smartphone
377349,Apple - smartphone
377507,Apple - smartphone
377829,Apple - smartphone
377872,Apple - smartphone
377927,Apple - laptop
377933,Apple - smartphone
377927,Dell - display
378072,Apple - smartphone
377312,Apple - smartphone
370687,Apple - smartphone
378323,Apple - smartphone
378325,Apple - smartphone
378325,Apple - extended warranty
378357,LG - display
378377,Apple - laptop
378377,Apple - extended warranty
378415,Apple - smartphone
378432,Apple - laptop
378471,Apple - laptop
378471,LG - display
378725,Apple - laptop
378725,Apple - extended warranty
378812,Pack - pc
378885,Apple - smartphone
378886,Apple - laptop
378927,Apple - laptop
378995,Apple - laptop
378995,Apple - pc
378995,BenQ - display
379041,Apple - laptop
379064,Apple - laptop
379158,Apple - laptop
379262,Apple - tablet
379543,Apple - laptop
379589,Apple - smartphone
379589,Apple - extended warranty
379729,Apple - smartphone
379729,Apple - extended warranty
379732,Apple - smartphone
